x, y
8.49462, -2810.33897
8.55314, -2816.19061
8.55314, -2822.04226
8.55314, -2827.8939
8.55314, -2833.74555
8.61166, -2839.59719
8.67017, -2845.44884
8.67017, -2851.30048
8.67017, -2857.15212
8.67017, -2863.00377
8.67017, -2868.85541
8.67017, -2874.70706
8.67017, -2880.5587
8.67017, -2886.41035
8.72869, -2892.26199
8.72869, -2898.11363
8.72869, -2903.96528
8.78721, -2909.81692
8.78721, -2915.66857
8.78721, -2921.52021
8.84573, -2927.37186
8.84573, -2933.2235
8.84573, -2939.07514
8.84573, -2944.92679
8.84573, -2950.77843
8.84573, -2956.63008
8.84573, -2962.48172
8.84573, -2968.33337
8.90425, -2974.18501
8.90425, -2980.03665
8.90425, -2985.8883
8.90425, -2991.73994
8.90425, -2997.59159
