x, y
20.79975, -2804.64772
20.93009, -2810.26052
20.99527, -2815.87332
21.06044, -2821.48612
21.19079, -2827.09892
21.25597, -2832.71172
21.38632, -2838.32453
21.45149, -2843.93733
21.58184, -2849.55013
21.64701, -2855.16293
21.71219, -2860.77573
21.84254, -2866.38853
21.90771, -2872.00133
22.03806, -2877.61413
22.10324, -2883.22693
22.23358, -2888.83973
22.29876, -2894.45254
22.42911, -2900.06534
22.49428, -2905.67814
22.55946, -2911.29094
22.68981, -2916.90374
22.75498, -2922.51654
22.88533, -2928.12934
22.9505, -2933.74214
23.08085, -2939.35494
23.14603, -2944.96775
23.2112, -2950.58055
23.34155, -2956.19335
23.40672, -2961.80615
23.53707, -2967.41895
23.60225, -2973.03175
23.66742, -2978.64455
23.79777, -2984.25735
23.86295, -2989.87015
