x, y
4.51687, -2605.23654
4.51687, -2613.81386
4.51687, -2622.39118
4.51687, -2630.9685
4.60123, -2639.54582
4.60123, -2648.12314
4.60123, -2656.70046
4.60123, -2665.27778
4.60123, -2673.8551
4.68558, -2682.43242
4.68558, -2691.00974
4.68558, -2699.58706
4.68558, -2708.16438
4.68558, -2716.7417
4.76994, -2725.31902
4.76994, -2733.89634
4.76994, -2742.47366
4.76994, -2751.05098
4.76994, -2759.6283
4.85429, -2768.20562
4.85429, -2776.78294
4.85429, -2785.36026
4.85429, -2793.93758
12.95245, -2801.08534
12.95245, -2809.66266
12.78374, -2818.23998
12.8681, -2826.8173
12.8681, -2835.39462
12.95245, -2843.97194
12.95245, -2852.54926
12.95245, -2861.12658
12.95245, -2869.7039
12.95245, -2878.28122
13.03681, -2886.85854
13.03681, -2895.43586
13.12116, -2904.01318
13.12116, -2912.5905
13.12116, -2921.16782
13.12116, -2929.74514
13.12116, -2938.32246
13.20552, -2946.89978
13.20552, -2955.4771
13.20552, -2964.05442
13.20552, -2972.63174
13.20552, -2981.20906
13.20552, -2989.78638
5.19172, -3001.22281
5.27607, -3009.80013
5.27607, -3018.37745
5.27607, -3026.95477
5.27607, -3035.53209
5.36043, -3044.10941
5.36043, -3052.68673
5.36043, -3061.26405
5.36043, -3069.84137
5.36043, -3078.41869
5.36043, -3086.99601
5.44478, -3095.57333
5.44478, -3104.15065
5.44478, -3112.72797
5.52914, -3121.30529
5.52914, -3129.88261
5.52914, -3138.45992
5.52914, -3147.03724
5.52914, -3155.61456
5.52914, -3164.19188
5.52914, -3172.7692
5.6135, -3181.34652
5.6135, -3189.92384
5.6135, -3198.50116
5.6135, -3207.07848
5.69785, -3215.6558
5.69785, -3224.23312
5.69785, -3232.81044
5.69785, -3241.38776
5.69785, -3249.96508
5.78221, -3258.5424
5.78221, -3267.11972
5.78221, -3275.69704
5.78221, -3284.27436
5.78221, -3292.85168
5.86656, -3301.429
5.86656, -3310.00632
5.86656, -3318.58364
5.86656, -3327.16096
5.86656, -3335.73828
5.95092, -3344.3156
