x, y
14.65136, -2603.69941
14.7449, -2611.77289
14.7449, -2619.84637
14.83843, -2627.91984
14.93197, -2635.99332
14.93197, -2644.0668
15.02551, -2652.14027
15.11905, -2660.21375
15.11905, -2668.28723
15.21258, -2676.3607
15.21258, -2684.43418
15.30612, -2692.50766
15.39966, -2700.58113
15.39966, -2708.65461
15.49319, -2716.72809
15.58673, -2724.80156
15.58673, -2732.87504
15.68027, -2740.94852
15.68027, -2749.02199
15.77381, -2757.09547
15.86734, -2765.16895
15.86734, -2773.24242
15.96088, -2781.3159
15.96088, -2789.38938
15.96088, -2797.46285
21.10544, -2801.49959
21.38605, -2809.57307
21.57312, -2817.64654
21.66666, -2825.72002
21.85374, -2833.7935
21.94727, -2841.86697
22.13435, -2849.94045
22.22789, -2858.01393
22.32142, -2866.0874
22.41496, -2874.16088
22.60203, -2882.23436
22.78911, -2890.30783
22.97618, -2898.38131
23.06972, -2906.45479
23.2568, -2914.52826
23.2568, -2922.60174
23.44387, -2930.67522
23.63095, -2938.7487
23.72448, -2946.82217
23.91156, -2954.89565
24.0051, -2962.96913
24.09863, -2971.0426
24.28571, -2979.11608
24.37924, -2987.18956
16.42857, -3008.71883
16.42857, -3016.7923
16.52211, -3024.86578
16.52211, -3032.93926
16.61564, -3041.01273
16.61564, -3049.08621
16.70918, -3057.15969
16.80272, -3065.23316
16.80272, -3073.30664
16.89626, -3081.38012
16.98979, -3089.45359
17.08333, -3097.52707
17.08333, -3105.60055
17.08333, -3113.67402
17.17687, -3121.7475
17.2704, -3129.82098
17.2704, -3137.89445
17.36394, -3145.96793
17.45748, -3154.04141
17.45748, -3162.11488
17.55102, -3170.18836
17.55102, -3178.26184
17.64455, -3186.33531
17.73809, -3194.40879
17.73809, -3202.48227
17.83163, -3210.55574
17.83163, -3218.62922
17.92517, -3226.7027
18.0187, -3234.77617
18.0187, -3242.84965
18.11224, -3250.92313
18.20578, -3258.9966
18.20578, -3267.07008
18.29932, -3275.14356
18.29932, -3283.21703
18.39285, -3291.29051
18.48639, -3299.36399
18.48639, -3307.43746
18.57993, -3315.51094
18.67347, -3323.58442
18.67347, -3331.65789
18.767, -3339.73137
18.67347, -3347.80485
