x, y
13.17433, -2807.45412
13.23951, -2813.06692
13.30468, -2818.67972
13.43503, -2824.29252
13.5002, -2829.90532
13.63055, -2835.51812
13.69573, -2841.13093
13.82608, -2846.74373
13.89125, -2852.35653
13.95642, -2857.96933
14.08677, -2863.58213
14.21712, -2869.19493
14.2823, -2874.80773
14.34747, -2880.42053
14.47782, -2886.03333
14.54299, -2891.64614
14.67334, -2897.25894
14.73852, -2902.87174
14.80369, -2908.48454
14.93404, -2914.09734
14.99922, -2919.71014
15.12957, -2925.32294
15.19474, -2930.93574
15.32509, -2936.54854
15.39026, -2942.16135
15.45544, -2947.77415
15.58579, -2953.38695
15.65096, -2958.99975
15.78131, -2964.61255
15.84648, -2970.22535
15.97683, -2975.83815
16.04201, -2981.45095
16.10718, -2987.06375
16.23753, -2992.67656
