x, y
14.99922, -2804.64772
15.12957, -2810.26052
15.19474, -2815.87332
15.32509, -2821.48612
15.39026, -2827.09892
15.52061, -2832.71172
15.58579, -2838.32453
15.65096, -2843.93733
15.78131, -2849.55013
15.84648, -2855.16293
15.97683, -2860.77573
16.04201, -2866.38853
16.17236, -2872.00133
16.23753, -2877.61413
16.30271, -2883.22693
16.43305, -2888.83973
16.49823, -2894.45254
16.62858, -2900.06534
16.75893, -2905.67814
16.8241, -2911.29094
16.88928, -2916.90374
17.01963, -2922.51654
17.0848, -2928.12934
17.21515, -2933.74214
17.28032, -2939.35494
17.3455, -2944.96775
17.47585, -2950.58055
17.54102, -2956.19335
17.67137, -2961.80615
17.73654, -2967.41895
17.80172, -2973.03175
17.93207, -2978.64455
17.99724, -2984.25735
18.06242, -2989.87015
18.19277, -2995.48296
